traits	regions
3_932_2000.237705	Region4
2_21361_2011.109589	Region3
2_3605_2001.616438	Region3
2_7620_2006.060274	Region3
0_10525_2004.065574	Region1
3_5888_2007.958904	Region4
0_10561_2004.106557	Region1
2_5398_2004.221311	Region3
2_5404_2004.18306	Region3
2_21409_2011.216438	Region3
3_6648_2009.041096	Region4
2_20541_2010.476712	Region3
3_4126_2004.579235	Region4
2_10622_2007.038356	Region3
2_11914_2007.542466	Region3
2_21597_2011.572603	Region3
2_1940_1999.534247	Region3
2_18612_2009.610959	Region3
3_4181_2004.759563	Region4
2_5879_2004.887978	Region3
2_5919_2004.822404	Region3
2_8105_2006.249315	Region3
2_22409_2014.123288	Region3
2_11784_2007.49863	Region3
2_12227_2007.583562	Region3
3_4253_2005.087671	Region4
3_4940_2006.542466	Region4
3_4030_2004.453552	Region4
3_5034_2006.627397	Region4
3_4291_2005.276712	Region4
2_6280_2005.284932	Region3
2_6793_2005.673973	Region3
2_6392_2005.347945	Region3
2_21789_2011.945205	Region3
2_4791_2003.260274	Region3
2_6514_2005.424658	Region3
2_12276_2007.657534	Region3
2_13830_2008.13388	Region3
2_6631_2005.553425	Region3
2_19578_2009.890411	Region3
2_8545_2006.410959	Region3
2_11385_2007.380822	Region3
3_4406_2005.660274	Region4
2_6810_2005.706849	Region3
2_6817_2005.649315	Region3
2_2561_2000.57377	Region3
2_3034_2000.969945	Region3
2_6982_2005.753425	Region3
2_9479_2006.657534	Region3
2_7065_2005.791781	Region3
2_7095_2005.819178	Region3
2_15834_2008.680328	Region3
2_14215_2008.204918	Region3
2_8696_2006.471233	Region3
2_7266_2005.917808	Region3
2_7283_2005.972603	Region3
2_7342_2006.073973	Region3
2_7348_2005.964384	Region3
2_8608_2006.452055	Region3
2_10217_2006.906849	Region3
3_4565_2006.030137	Region4
2_2490_2000.505464	Region3
2_7674_2006.093151	Region3
2_7722_2006.10411	Region3
2_7791_2006.191781	Region3
2_16755_2009.10137	Region3
2_6715_2005.60274	Region3
2_7836_2006.106849	Region3
3_2202_2001.969863	Region4
3_4676_2006.282192	Region4
2_12558_2007.753425	Region3
2_8191_2006.257534	Region3
2_7116_2005.819178	Region3
2_8263_2006.284932	Region3
2_8329_2006.331507	Region3
2_8344_2006.347945	Region3
3_4818_2006.441096	Region4
2_13198_2007.871233	Region3
2_421_1994.635616	Region3
2_8735_2006.441096	Region3
2_8776_2006.460274	Region3
2_17213_2009.079452	Region3
3_5548_2007.271233	Region4
2_8856_2006.457534	Region3
2_8874_2006.578082	Region3
2_9032_2006.506849	Region3
2_4661_2003.087671	Region3
3_6195_2008.213115	Region4
2_9502_2006.654795	Region3
3_5071_2006.69863	Region4
2_9624_2006.687671	Region3
3_5372_2007.112329	Region4
2_16409_2008.830601	Region3
2_9714_2006.753425	Region3
2_9735_2006.813699	Region3
3_5163_2006.827397	Region4
2_9973_2006.912329	Region3
2_9980_2006.849315	Region3
2_10070_2006.967123	Region3
2_21478_2011.353425	Region3
2_10175_2006.947945	Region3
3_5259_2006.90411	Region4
3_5267_2007.030137	Region4
3_5275_2006.950685	Region4
2_13234_2007.879452	Region3
2_9168_2006.632877	Region3
3_5327_2007.035616	Region4
2_18775_2009.580822	Region3
2_1795_1999.353425	Region3
2_10786_2007.09589	Region3
2_8988_2006.50137	Region3
2_10795_2007.115068	Region3
3_5436_2007.180822	Region4
3_5449_2007.150685	Region4
2_7630_2006.054795	Region3
3_5582_2007.326027	Region4
2_11479_2007.356164	Region3
2_11493_2007.39726	Region3
2_14862_2008.385246	Region3
2_15354_2008.508197	Region3
2_10216_2007.079452	Region3
2_12353_2007.632877	Region3
3_5735_2007.684932	Region4
2_12602_2007.720548	Region3
3_4058_2004.467213	Region4
2_12629_2007.739726	Region3
2_22149_2012.961749	Region3
2_12833_2007.769863	Region3
2_12848_2007.769863	Region3
2_12904_2007.843836	Region3
3_5824_2007.827397	Region4
2_13087_2007.824658	Region3
2_13256_2007.873973	Region3
2_13270_2007.863014	Region3
2_13312_2007.90411	Region3
2_22123_2012.81694	Region3
2_7603_2006.013699	Region3
2_6720_2005.594521	Region3
2_20743_2010.616438	Region3
2_3262_2001.279452	Region3
2_13903_2008.079235	Region3
5_937_2008.153005	Region6
3_6155_2008.243169	Region4
2_14096_2008.180328	Region3
2_14166_2008.191257	Region3
2_14303_2008.273224	Region3
3_5273_2006.961644	Region4
3_6272_2008.243169	Region4
2_14407_2008.36612	Region3
2_14409_2008.289617	Region3
