traits	regions
2_5775_2004.674863	Region3
4_8118_2005.772603	Region5
2_20414_2010.441096	Region3
2_6753_2005.621918	Region3
3_3190_2002.736986	Region4
2_6002_2004.948087	Region3
5_407_2007	Region6
2_6060_2004.994536	Region3
0_11848_2005.024658	Region1
2_13800_2008.065574	Region3
1_5085_2001.336986	Region2
2_20326_2010.293151	Region3
3_4339_2005.520548	Region4
0_12358_2005.427397	Region1
2_6510_2005.438356	Region3
1_6614_2006.312329	Region2
2_6577_2005.545205	Region3
2_16188_2008.743169	Region3
2_6864_2005.736986	Region3
2_11443_2007.312329	Region3
2_6919_2005.764384	Region3
0_12046_2005.293151	Region1
2_6989_2005.736986	Region3
2_7034_2005.854795	Region3
3_3971_2004.29235	Region4
2_14360_2008.245902	Region3
2_7242_2005.934247	Region3
2_7283_2005.972603	Region3
5_3177_2009.975342	Region6
2_7441_2005.969863	Region3
2_7526_2006.117808	Region3
2_9591_2006.70137	Region3
1_6556_2006.126027	Region2
2_7711_2006.071233	Region3
2_7738_2006.10137	Region3
2_7859_2006.131507	Region3
5_3984_2010.841096	Region6
2_19387_2009.778082	Region3
2_7951_2006.178082	Region3
0_10801_2004.218579	Region1
4_8958_2007.884932	Region5
2_8048_2006.210959	Region3
5_3495_2010.284932	Region6
2_8221_2006.312329	Region3
2_8318_2006.410959	Region3
2_8342_2006.326027	Region3
2_15349_2008.502732	Region3
3_4775_2006.345205	Region4
2_9086_2006.542466	Region3
2_5693_2004.54918	Region3
2_17995_2009.386301	Region3
2_8881_2006.534247	Region3
3_4886_2006.523288	Region4
0_12635_2005.706849	Region1
3_5608_2007.369863	Region4
4_4055_1999.235616	Region5
2_9160_2006.547945	Region3
3_5233_2006.89589	Region4
2_9296_2006.613699	Region3
2_9323_2006.578082	Region3
0_14374_2006.717808	Region1
5_332_2006.758904	Region6
2_9653_2006.736986	Region3
5_1940_2009.010959	Region6
4_8493_2006.786301	Region5
2_9809_2006.742466	Region3
3_1757_2001.638356	Region4
4_8482_2006.709589	Region5
2_10070_2006.967123	Region3
2_10085_2006.876712	Region3
2_10326_2007.013699	Region3
2_10388_2006.975342	Region3
2_10537_2007.016438	Region3
2_10575_2007.054795	Region3
2_18560_2009.591781	Region3
3_3154_2002.690411	Region4
3_5402_2007.10137	Region4
2_10749_2007.090411	Region3
3_5418_2007.175342	Region4
2_10975_2007.210959	Region3
3_5479_2007.271233	Region4
2_11124_2007.249315	Region3
2_11250_2007.315068	Region3
2_11264_2007.293151	Region3
3_5544_2007.279452	Region4
2_11562_2007.342466	Region3
2_12092_2007.657534	Region3
0_15112_2007.712329	Region1
2_11983_2007.517808	Region3
3_5671_2007.556164	Region4
2_12077_2007.567123	Region3
2_12153_2007.630137	Region3
0_13550_2006.189041	Region1
2_12357_2007.613699	Region3
2_12393_2007.657534	Region3
2_12438_2007.665753	Region3
2_12444_2007.616438	Region3
5_597_2007.652055	Region6
4_8841_2007.679452	Region5
0_14744_2006.980822	Region1
2_12961_2007.819178	Region3
5_1646_2008.808743	Region6
0_1232_1992.691257	Region1
2_13305_2007.945205	Region3
2_702_1995.665753	Region3
2_20111_2010.194521	Region3
2_13722_2008.02459	Region3
0_13171_2005.920548	Region1
2_13956_2008.224044	Region3
2_13971_2008.150273	Region3
5_928_2008.112022	Region6
5_938_2008.142077	Region6
3_3062_2002.635616	Region4
5_970_2008.174863	Region6
5_1005_2008.234973	Region6
2_14322_2008.29235	Region3
