traits	patch	samp.dates	short.names
5_6318_2014.043836	6	2014.043836	5_6318
5_6317_2014.016438	6	2014.016438	5_6317
5_6316_2014.013699	6	2014.013699	5_6316
5_6314_2014.057534	6	2014.057534	5_6314
2_22400_2014.010959	3	2014.010959	2_22400
4_9649_2014.032877	5	2014.032877	4_9649
5_6312_2014.00274	6	2014.00274	5_6312
5_6311_2014.093151	6	2014.093151	5_6311
4_9648_2014.019178	5	2014.019178	4_9648
5_6308_2014.024658	6	2014.024658	5_6308
2_22399_2014.057534	3	2014.057534	2_22399
5_6307_2014.019178	6	2014.019178	5_6307
5_6306_2014.079452	6	2014.079452	5_6306
2_22398_2014.027397	3	2014.027397	2_22398
5_6305_2014.093151	6	2014.093151	5_6305
4_9647_2013.967123	5	2013.967123	4_9647
5_6303_2014.016438	6	2014.016438	5_6303
5_6300_2013.967123	6	2013.967123	5_6300
5_6299_2014.019178	6	2014.019178	5_6299
5_6298_2013.972603	6	2013.972603	5_6298
2_22396_2013.942466	3	2013.942466	2_22396
5_6297_2013.975342	6	2013.975342	5_6297
5_6295_2014.038356	6	2014.038356	5_6295
5_6294_2013.978082	6	2013.978082	5_6294
5_6292_2014.057534	6	2014.057534	5_6292
5_6291_2013.983562	6	2013.983562	5_6291
5_6288_2013.926027	6	2013.926027	5_6288
3_6765_2013.950685	4	2013.950685	3_6765
2_22394_2013.920548	3	2013.920548	2_22394
5_6285_2013.931507	6	2013.931507	5_6285
5_6284_2013.887671	6	2013.887671	5_6284
5_6282_2013.936986	6	2013.936986	5_6282
5_6280_2013.90137	6	2013.90137	5_6280
5_6279_2013.961644	6	2013.961644	5_6279
5_6278_2013.928767	6	2013.928767	5_6278
5_6276_2013.986301	6	2013.986301	5_6276
5_6275_2013.917808	6	2013.917808	5_6275
2_22393_2014.041096	3	2014.041096	2_22393
5_6274_2013.876712	6	2013.876712	5_6274
5_6272_2013.939726	6	2013.939726	5_6272
5_6270_2013.923288	6	2013.923288	5_6270
5_6269_2013.90137	6	2013.90137	5_6269
5_6267_2013.956164	6	2013.956164	5_6267
5_6266_2013.865753	6	2013.865753	5_6266
5_6265_2013.865753	6	2013.865753	5_6265
2_22391_2013.865753	3	2013.865753	2_22391
5_6264_2013.849315	6	2013.849315	5_6264
2_22444_2014.265753	3	2014.265753	2_22444
2_22387_2013.945205	3	2013.945205	2_22387
5_6259_2013.873973	6	2013.873973	5_6259
2_22386_2013.865753	3	2013.865753	2_22386
5_6254_2013.821918	6	2013.821918	5_6254
5_6253_2013.857534	6	2013.857534	5_6253
5_6251_2013.813699	6	2013.813699	5_6251
5_6250_2013.909589	6	2013.909589	5_6250
5_6247_2013.824658	6	2013.824658	5_6247
5_6246_2013.821918	6	2013.821918	5_6246
5_6244_2013.821918	6	2013.821918	5_6244
5_6243_2013.79726	6	2013.79726	5_6243
5_6237_2013.783562	6	2013.783562	5_6237
5_6236_2013.824658	6	2013.824658	5_6236
5_6233_2013.794521	6	2013.794521	5_6233
5_6232_2013.810959	6	2013.810959	5_6232
5_6229_2013.791781	6	2013.791781	5_6229
5_6228_2013.808219	6	2013.808219	5_6228
5_6227_2013.780822	6	2013.780822	5_6227
5_6226_2013.756164	6	2013.756164	5_6226
5_6222_2013.871233	6	2013.871233	5_6222
5_6220_2013.769863	6	2013.769863	5_6220
5_6219_2013.767123	6	2013.767123	5_6219
5_6218_2013.769863	6	2013.769863	5_6218
2_22381_2013.767123	3	2013.767123	2_22381
5_6215_2013.720548	6	2013.720548	5_6215
5_6214_2013.80274	6	2013.80274	5_6214
5_6213_2013.832877	6	2013.832877	5_6213
5_6212_2013.753425	6	2013.753425	5_6212
5_6210_2013.742466	6	2013.742466	5_6210
5_6209_2013.778082	6	2013.778082	5_6209
2_22378_2013.761644	3	2013.761644	2_22378
2_22377_2013.720548	3	2013.720548	2_22377
5_6207_2013.70137	6	2013.70137	5_6207
5_6203_2013.706849	6	2013.706849	5_6203
5_6202_2013.70137	6	2013.70137	5_6202
5_6201_2013.712329	6	2013.712329	5_6201
2_22376_2013.69589	3	2013.69589	2_22376
5_6197_2013.673973	6	2013.673973	5_6197
2_22373_2013.706849	3	2013.706849	2_22373
5_6195_2013.720548	6	2013.720548	5_6195
5_6194_2013.734247	6	2013.734247	5_6194
5_6192_2013.723288	6	2013.723288	5_6192
5_6185_2013.684932	6	2013.684932	5_6185
5_6184_2013.673973	6	2013.673973	5_6184
2_22371_2013.652055	3	2013.652055	2_22371
5_6181_2013.671233	6	2013.671233	5_6181
5_6178_2013.660274	6	2013.660274	5_6178
2_22369_2013.684932	3	2013.684932	2_22369
5_6177_2013.717808	6	2013.717808	5_6177
5_6175_2013.742466	6	2013.742466	5_6175
5_6174_2013.663014	6	2013.663014	5_6174
5_6173_2013.621918	6	2013.621918	5_6173
5_6170_2013.69863	6	2013.69863	5_6170
5_6167_2013.638356	6	2013.638356	5_6167
5_6164_2013.616438	6	2013.616438	5_6164
5_6163_2013.734247	6	2013.734247	5_6163
5_6160_2013.627397	6	2013.627397	5_6160
5_6159_2013.8	6	2013.8	5_6159
5_6158_2013.624658	6	2013.624658	5_6158
5_6157_2013.673973	6	2013.673973	5_6157
5_6156_2013.605479	6	2013.605479	5_6156
5_6155_2013.624658	6	2013.624658	5_6155
5_6153_2013.60274	6	2013.60274	5_6153
5_6152_2013.591781	6	2013.591781	5_6152
4_9643_2013.627397	5	2013.627397	4_9643
5_6149_2013.649315	6	2013.649315	5_6149
5_6148_2013.572603	6	2013.572603	5_6148
5_6147_2013.572603	6	2013.572603	5_6147
5_6145_2013.638356	6	2013.638356	5_6145
5_6140_2013.610959	6	2013.610959	5_6140
5_6138_2013.578082	6	2013.578082	5_6138
2_22364_2013.616438	3	2013.616438	2_22364
5_6136_2013.594521	6	2013.594521	5_6136
5_6134_2013.547945	6	2013.547945	5_6134
5_6132_2013.594521	6	2013.594521	5_6132
2_22363_2013.572603	3	2013.572603	2_22363
5_6130_2013.682192	6	2013.682192	5_6130
5_6129_2013.547945	6	2013.547945	5_6129
5_6128_2013.621918	6	2013.621918	5_6128
5_6127_2013.586301	6	2013.586301	5_6127
5_6126_2013.542466	6	2013.542466	5_6126
5_6123_2013.558904	6	2013.558904	5_6123
4_9642_2013.542466	5	2013.542466	4_9642
5_6122_2013.536986	6	2013.536986	5_6122
5_6121_2013.539726	6	2013.539726	5_6121
5_6119_2013.60274	6	2013.60274	5_6119
4_9641_2013.564384	5	2013.564384	4_9641
5_6118_2013.528767	6	2013.528767	5_6118
5_6117_2013.547945	6	2013.547945	5_6117
5_6116_2013.591781	6	2013.591781	5_6116
5_6115_2013.6	6	2013.6	5_6115
5_6114_2013.59726	6	2013.59726	5_6114
5_6113_2013.539726	6	2013.539726	5_6113
5_6111_2013.547945	6	2013.547945	5_6111
5_6110_2013.547945	6	2013.547945	5_6110
5_6104_2013.520548	6	2013.520548	5_6104
5_6101_2013.526027	6	2013.526027	5_6101
5_6100_2013.517808	6	2013.517808	5_6100
5_6099_2013.578082	6	2013.578082	5_6099
5_6098_2013.520548	6	2013.520548	5_6098
2_22362_2013.542466	3	2013.542466	2_22362
2_22360_2013.517808	3	2013.517808	2_22360
5_6097_2013.49863	6	2013.49863	5_6097
4_9640_2013.512329	5	2013.512329	4_9640
4_9639_2013.515068	5	2013.515068	4_9639
5_6094_2013.558904	6	2013.558904	5_6094
4_9638_2013.682192	5	2013.682192	4_9638
2_22359_2013.523288	3	2013.523288	2_22359
5_6091_2013.539726	6	2013.539726	5_6091
5_6086_2013.468493	6	2013.468493	5_6086
5_6085_2013.49863	6	2013.49863	5_6085
2_22356_2013.482192	3	2013.482192	2_22356
5_6083_2013.484932	6	2013.484932	5_6083
5_6082_2013.490411	6	2013.490411	5_6082
2_22354_2013.487671	3	2013.487671	2_22354
2_22351_2013.484932	3	2013.484932	2_22351
5_6081_2013.550685	6	2013.550685	5_6081
5_6079_2013.457534	6	2013.457534	5_6079
2_22347_2013.49589	3	2013.49589	2_22347
5_6075_2013.50137	6	2013.50137	5_6075
5_6074_2013.564384	6	2013.564384	5_6074
2_22346_2013.460274	3	2013.460274	2_22346
5_6070_2013.558904	6	2013.558904	5_6070
2_22345_2013.484932	3	2013.484932	2_22345
5_6069_2013.479452	6	2013.479452	5_6069
5_6068_2013.473973	6	2013.473973	5_6068
5_6067_2013.449315	6	2013.449315	5_6067
5_6066_2013.463014	6	2013.463014	5_6066
5_6065_2013.49589	6	2013.49589	5_6065
5_6064_2013.539726	6	2013.539726	5_6064
5_6063_2013.443836	6	2013.443836	5_6063
5_6061_2013.416438	6	2013.416438	5_6061
5_6060_2013.449315	6	2013.449315	5_6060
2_22342_2013.449315	3	2013.449315	2_22342
5_6057_2013.432877	6	2013.432877	5_6057
5_6056_2013.432877	6	2013.432877	5_6056
5_6055_2013.410959	6	2013.410959	5_6055
5_6054_2013.526027	6	2013.526027	5_6054
5_6052_2013.506849	6	2013.506849	5_6052
2_22341_2013.512329	3	2013.512329	2_22341
5_6050_2013.419178	6	2013.419178	5_6050
5_6047_2013.408219	6	2013.408219	5_6047
5_6045_2013.430137	6	2013.430137	5_6045
5_6041_2013.50411	6	2013.50411	5_6041
5_6040_2013.506849	6	2013.506849	5_6040
5_6038_2013.460274	6	2013.460274	5_6038
5_6037_2013.534247	6	2013.534247	5_6037
4_9631_2013.419178	5	2013.419178	4_9631
4_9630_2013.454795	5	2013.454795	4_9630
5_6036_2013.487671	6	2013.487671	5_6036
5_6035_2013.4	6	2013.4	5_6035
5_6034_2013.564384	6	2013.564384	5_6034
5_6030_2013.364384	6	2013.364384	5_6030
5_6029_2013.50137	6	2013.50137	5_6029
2_22336_2013.460274	3	2013.460274	2_22336
4_9629_2013.375342	5	2013.375342	4_9629
4_9628_2013.367123	5	2013.367123	4_9628
5_6028_2013.358904	6	2013.358904	5_6028
5_6027_2013.394521	6	2013.394521	5_6027
5_6023_2013.389041	6	2013.389041	5_6023
5_6022_2013.347945	6	2013.347945	5_6022
2_22333_2013.413699	3	2013.413699	2_22333
5_6020_2013.383562	6	2013.383562	5_6020
5_6019_2013.350685	6	2013.350685	5_6019
2_22331_2013.375342	3	2013.375342	2_22331
5_6017_2013.389041	6	2013.389041	5_6017
5_6016_2013.391781	6	2013.391781	5_6016
2_22330_2013.410959	3	2013.410959	2_22330
5_6015_2013.367123	6	2013.367123	5_6015
5_6014_2013.427397	6	2013.427397	5_6014
5_6013_2013.380822	6	2013.380822	5_6013
5_6011_2013.380822	6	2013.380822	5_6011
4_9626_2013.347945	5	2013.347945	4_9626
2_22328_2013.416438	3	2013.416438	2_22328
5_6010_2013.410959	6	2013.410959	5_6010
5_6009_2013.375342	6	2013.375342	5_6009
4_9625_2013.350685	5	2013.350685	4_9625
5_6007_2013.358904	6	2013.358904	5_6007
5_6006_2013.372603	6	2013.372603	5_6006
2_22326_2013.39726	3	2013.39726	2_22326
5_6003_2013.386301	6	2013.386301	5_6003
5_6002_2013.323288	6	2013.323288	5_6002
2_22325_2013.358904	3	2013.358904	2_22325
5_6001_2013.320548	6	2013.320548	5_6001
4_9622_2013.375342	5	2013.375342	4_9622
2_22324_2013.389041	3	2013.389041	2_22324
5_5998_2013.320548	6	2013.320548	5_5998
5_5993_2013.394521	6	2013.394521	5_5993
5_5990_2013.364384	6	2013.364384	5_5990
5_5989_2013.334247	6	2013.334247	5_5989
5_5988_2013.320548	6	2013.320548	5_5988
2_22319_2013.315068	3	2013.315068	2_22319
4_9617_2013.312329	5	2013.312329	4_9617
2_22318_2013.369863	3	2013.369863	2_22318
5_5987_2013.336986	6	2013.336986	5_5987
5_5986_2013.326027	6	2013.326027	5_5986
2_22317_2013.323288	3	2013.323288	2_22317
2_22316_2013.331507	3	2013.331507	2_22316
5_6087_2013.465753	6	2013.465753	5_6087
5_5984_2013.320548	6	2013.320548	5_5984
4_9616_2013.29589	5	2013.29589	4_9616
2_22315_2013.30411	3	2013.30411	2_22315
2_22313_2013.315068	3	2013.315068	2_22313
2_22312_2013.339726	3	2013.339726	2_22312
2_22311_2013.326027	3	2013.326027	2_22311
5_5982_2013.279452	6	2013.279452	5_5982
2_22310_2013.29863	3	2013.29863	2_22310
4_9615_2013.323288	5	2013.323288	4_9615
2_22308_2013.306849	3	2013.306849	2_22308
5_5979_2013.375342	6	2013.375342	5_5979
5_5978_2013.312329	6	2013.312329	5_5978
5_5977_2013.279452	6	2013.279452	5_5977
4_9613_2013.268493	5	2013.268493	4_9613
5_5976_2013.30137	6	2013.30137	5_5976
5_5974_2013.282192	6	2013.282192	5_5974
2_22305_2013.386301	3	2013.386301	2_22305
2_22304_2013.252055	3	2013.252055	2_22304
5_5973_2013.260274	6	2013.260274	5_5973
