# BEAST v1.10.5 Prerelease #23570d1
# Generated Wed Nov 27 14:21:49 CET 2024 [seed=1732713705419]
# sim11_biased_2.5_500_tipSwap.xml
state	joint	prior	likelihood	regions.clock.rate	regions.rates.Region1.Region2	regions.rates.Region1.Region3	regions.rates.Region1.Region4	regions.rates.Region1.Region5	regions.rates.Region1.Region6	regions.rates.Region2.Region3	regions.rates.Region2.Region4	regions.rates.Region2.Region5	regions.rates.Region2.Region6	regions.rates.Region3.Region4	regions.rates.Region3.Region5	regions.rates.Region3.Region6	regions.rates.Region4.Region5	regions.rates.Region4.Region6	regions.rates.Region5.Region6	regions.rates.Region2.Region1	regions.rates.Region3.Region1	regions.rates.Region4.Region1	regions.rates.Region5.Region1	regions.rates.Region6.Region1	regions.rates.Region3.Region2	regions.rates.Region4.Region2	regions.rates.Region5.Region2	regions.rates.Region6.Region2	regions.rates.Region4.Region3	regions.rates.Region5.Region3	regions.rates.Region6.Region3	regions.rates.Region5.Region4	regions.rates.Region6.Region4	regions.rates.Region6.Region5	regions.indicators.Region1.Region2	regions.indicators.Region1.Region3	regions.indicators.Region1.Region4	regions.indicators.Region1.Region5	regions.indicators.Region1.Region6	regions.indicators.Region2.Region3	regions.indicators.Region2.Region4	regions.indicators.Region2.Region5	regions.indicators.Region2.Region6	regions.indicators.Region3.Region4	regions.indicators.Region3.Region5	regions.indicators.Region3.Region6	regions.indicators.Region4.Region5	regions.indicators.Region4.Region6	regions.indicators.Region5.Region6	regions.indicators.Region2.Region1	regions.indicators.Region3.Region1	regions.indicators.Region4.Region1	regions.indicators.Region5.Region1	regions.indicators.Region6.Region1	regions.indicators.Region3.Region2	regions.indicators.Region4.Region2	regions.indicators.Region5.Region2	regions.indicators.Region6.Region2	regions.indicators.Region4.Region3	regions.indicators.Region5.Region3	regions.indicators.Region6.Region3	regions.indicators.Region5.Region4	regions.indicators.Region6.Region4	regions.indicators.Region6.Region5	regions.nonZeroRates	regions.branchRates	regions.treeLikelihood
400000	-1089.0603641749324	-144.99965786699465	-944.0607063079377	0.26530198136922195	0.8611667950878646	1.7016067682019238	0.014019453000969457	0.13685830820938052	0.400315036597353	1.2573937776434145	0.2191019611254353	1.0718515562471598	2.528173721148639	1.3947853291331251	0.715582446508099	0.40958007808564023	1.493440970121986	1.6652522215207153	0.020197850377139722	0.873947625059718	0.8770194853513876	1.016202695702054	1.294828419732617	0.8963694861416678	0.4390504322230871	0.12376730392957798	0.240276048930517	0.28572392651174755	2.522171446477896	5.076327203408119	0.9869359117736753	0.28441671651893435	0.23097081219685156	0.164837571392239	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	14.0	0.0	-944.0607063079377
440000	-1070.941607375588	-143.60070741325876	-927.3408999623293	0.23848204493866623	0.28748618790174724	3.2534134780133686	1.1963461997242	0.9274832197354212	0.2607939527878897	0.981965688948151	0.08704374793142536	2.515567157966876	1.3794800119377428	1.741437909535485	1.1505236819521685	0.8130441428981311	0.500892549257001	1.040873179481951	0.060538321867942564	0.19898491596397586	1.5646271882085598	1.4940075486345763	0.984621880995969	1.0245883576094732	0.9151304740729157	0.45004763434328293	1.2038299748313974	1.6557136784981756	3.01576470863791	0.4701463914167043	2.072242121314372	1.2633028386336078	0.24277815313452278	0.833648811129346	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	16.0	0.0	-927.3408999623293
480000	-1099.9508179942577	-129.5920172376824	-970.3588007565752	0.1881884896159546	2.118039106517417	1.2122018925301938	0.0030869685776078568	1.8244282539962733	1.6510997383592998	1.428454135332853	0.9406024525112446	0.9609730849242175	0.31941003529026335	3.4126926787692438	1.8989512710193663	1.1562356844055175	1.168461418623529	0.6530035309966113	0.8618833017228525	1.3411725578799865	2.3869392140809436	2.3195550556011777	2.065643374651742	0.09762035978842121	1.2334799600693354	1.0723889103344522	0.32222562465893506	0.41406861100555403	3.759388060461205	0.3343728275728912	2.9057024925940373	2.5475072305311786	0.5403147138616411	0.3513633824727916	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	-970.3588007565752
520000	-1084.7012639632976	-136.8135776680847	-947.8876862952129	0.23372589061108678	2.5905431210344396	2.6386623997974428	0.4716861026740586	1.0026626555489238	0.12878073714371166	0.3446907027479476	1.8501168480433177	0.04069796482361994	0.22695953474918054	2.23674350450435	1.563554155595697	0.8674318533143109	3.9385497413138326	0.2081578487629836	0.0032543341878334274	0.08477881635622479	1.5126280735245747	1.0290769288655812	0.8677958232168191	1.1108976927639795	0.3965309023517223	0.5520738917368161	0.65595596829033	1.5149406668241274	3.6767066767297165	0.26855320789978865	0.3530005454526897	0.49686684513012	1.8115534117470635	0.2438617284827997	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	15.0	0.0	-947.8876862952129
560000	-1060.0287068226983	-128.7040148385697	-931.3246919841287	0.21544875306523967	0.6336250054491893	1.9808621546162766	0.5628002688193844	0.08370746970785588	0.021618535464000624	0.4817020381766581	2.4404172055104034	0.06382584554027304	0.10583737661297672	2.3053866531338354	0.8961277620712093	0.5517031283907479	0.5010084941497902	0.4045165027676189	0.5923091297431935	0.1591029774109709	1.815268012019872	1.2510992375736756	0.509293813810812	1.8210216975806361	0.6276419109148547	1.260146457001533	0.14287347355000907	0.9415799620739504	3.4679290684695614	0.4393671692897315	0.3739307975222487	3.8042835018391234	1.3895950837196582	1.257965927213103	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	12.0	0.0	-931.3246919841287
600000	-1098.7731374629423	-159.47079516089374	-939.3023423020485	0.3025692643789197	0.03638208880038884	2.0239786976189897	0.9739232200573168	0.3311350127118358	0.2730772404650818	1.359259749730453	1.541216112620108	0.04717876023436164	1.3144781609680962	0.9172546600773244	0.5863924246148244	0.3286007205570708	1.571799774662157	0.616691594067027	0.03394866729538108	1.1309284181629053	0.9936415022748017	0.930809719895823	0.25870122949333063	0.10026183924586972	0.16104933535605614	0.6753867617882545	0.17013693410721456	0.23106471123246106	1.870875662882864	2.46305248946165	0.4338900943905102	1.9770086084157326	0.0485251341172155	0.3560895049299278	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	13.0	0.0	-939.3023423020485
640000	-1081.9866250391412	-131.80515978646986	-950.1814652526714	0.21181620764937958	0.06817265883466159	2.180856053412302	0.3842622806775356	2.4770690180854995	0.051133737163739056	0.2363642723203512	0.21332059266705972	0.41596988292616943	0.26171311203024633	2.962916409828953	1.470129068358793	1.997536581463023	0.7771356169409323	1.1702884353049223	1.1145778660008754	3.3853367355485755	2.3738014758236594	0.46498782667436667	0.3688147441180496	0.18593881109594795	0.742784735137554	0.40762053694490763	0.9312118409121731	1.6104410912933116	4.541294660343915	0.8617256901840703	0.9290289962630046	0.6981188745313418	0.6727705474157937	0.01152133632275036	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	16.0	0.0	-950.1814652526714
680000	-1103.2748252463966	-144.7070705091428	-958.567754737254	0.2617881406140254	0.7629183764488352	1.18173603481915	0.7893127304419153	0.3657564694383362	0.2346758320273913	0.30868904634415845	0.09989487188244593	0.3949582440887079	0.43874589512599255	1.8839106035608837	0.9011570567028164	0.47034780489771905	1.3817513030185498	0.10430457576938819	0.4693012061624691	0.1800691272964103	1.8297714266493414	0.6277650173902566	0.9518374000894989	0.38140494729309443	0.5787333698651951	0.7973131849889447	0.8136985993656518	0.02283599656306624	3.4992085468871275	0.14885336523760068	0.14411592631632733	0.033680638665135224	0.7269595344068566	3.384967762983065	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	18.0	0.0	-958.567754737254
720000	-1070.0383139995743	-140.34799056403352	-929.6903234355408	0.2187741173968624	0.533362367279509	1.558356924958241	0.4666236330244169	3.8559952592482096	0.5318263890735975	3.863435369570432	4.098806393011317	0.4323029588427099	0.4603725328112845	1.8881665093418283	0.8865335766238536	0.8904204172455672	0.30746165879249837	6.16737948973834	1.856152002073483	0.3526964140511009	1.4997412024180272	0.7237469332708496	0.9064022838197734	0.019317259254912934	0.8677281559394091	0.11487951449868905	2.2578690962113206	0.2398865563881971	2.553582863927618	1.3425042270207705	1.2906546643914525	1.8071541055044322	0.8003611031822275	0.5484471001315361	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	13.0	0.0	-929.6903234355408
760000	-1051.3268999150935	-108.18330473914793	-943.1435951759455	0.17839269266387484	2.6403362211840906	1.1856036714713485	0.8076601857986501	0.35451056775916306	0.3991420761052441	0.17578747530741187	1.4538933252345105	1.3536064228763625	0.4580154664135001	2.6667769432617185	0.8005736408614447	0.9347472019550515	0.7645686838084454	0.1262386085784485	0.10650536078081208	2.1354660298466284	1.821074551966994	0.2523997141291463	0.944515486253812	0.2117784130920574	0.7986640972309901	0.3850848458046908	0.47898295985420847	0.18719494597147626	3.019762333085164	0.7425505350683387	0.5938685794364886	0.405811732133726	0.041899354545330274	0.2339184689554026	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	12.0	0.0	-943.1435951759455
